frame_number,frame_size,frame_area,position,class_id,class_name,score,bbox,speed,area,area_relative,object_id,x_position,y_position,final_class,final_class_name,label
81,"(1920, 1080)",2073600,"(445, 1135)",0,Bird,0.6424699425697327,"[399.0643615722656, 1115.0350341796875, 492.7144775390625, 1156.18359375]",89.91008991008991,3853.567375626415,0.0018583947606223067,0,445,1135,5,Military_Aircraft,0 Military_Aircraft
82,"(1920, 1080)",2073600,"(446, 1136)",0,Bird,0.6149029731750488,"[404.9467468261719, 1112.318115234375, 487.2943115234375, 1160.6246337890625]",42.38402284834451,3977.9241619817913,0.0019183662046594286,0,446,1136,5,Military_Aircraft,0 Military_Aircraft
83,"(1920, 1080)",2073600,"(447, 1135)",5,Military_Aircraft,0.7999809384346008,"[409.1685791015625, 1120.3704223632812, 485.244873046875, 1151.1577758789062]",42.38402284834451,2342.1877558529377,0.0011295272742346343,0,447,1135,5,Military_Aircraft,0 Military_Aircraft
84,"(1920, 1080)",2073600,"(448, 1136)",5,Military_Aircraft,0.6156061291694641,"[407.52874755859375, 1120.5001220703125, 488.77587890625, 1152.0079345703125]",42.38402284834451,2559.9193806648254,0.0012345290223113549,0,448,1136,5,Military_Aircraft,0 Military_Aircraft
85,"(1920, 1080)",2073600,"(449, 1136)",5,Military_Aircraft,0.8284140825271606,"[418.86895751953125, 1122.1864624023438, 479.83721923828125, 1151.1172485351562]",29.97002997002997,1763.8597406744957,0.0008506268039518209,0,449,1136,5,Military_Aircraft,0 Military_Aircraft
86,"(1920, 1080)",2073600,"(449, 1136)",5,Military_Aircraft,0.8144287467002869,"[418.7811584472656, 1121.9792175292969, 480.0697326660156, 1151.2004089355469]",0.0,1790.9251582622528,0.0008636791851187562,0,449,1136,5,Military_Aircraft,0 Military_Aircraft
87,"(1920, 1080)",2073600,"(449, 1135)",5,Military_Aircraft,0.7891948223114014,"[409.0675048828125, 1119.7078247070312, 489.744140625, 1151.0643920898438]",29.97002997002997,2529.7423648685217,0.0012199760633046497,0,449,1135,5,Military_Aircraft,0 Military_Aircraft
88,"(1920, 1080)",2073600,"(451, 1137)",5,Military_Aircraft,0.818137526512146,"[416.68701171875, 1124.4454345703125, 487.2353515625, 1150.549072265625]",84.76804569668901,1841.5683032870293,0.0008881019981129578,0,451,1137,5,Military_Aircraft,0 Military_Aircraft
89,"(1920, 1080)",2073600,"(452, 1135)",5,Military_Aircraft,0.8664760589599609,"[418.03656005859375, 1121.7761535644531, 486.60833740234375, 1149.8174133300781]",67.015024300693,1922.8390210866928,0.0009272950526073943,0,452,1135,5,Military_Aircraft,0 Military_Aircraft
90,"(1920, 1080)",2073600,"(453, 1135)",5,Military_Aircraft,0.6603615283966064,"[410.37225341796875, 1119.6017456054688, 496.90838623046875, 1151.1624145507812]",29.97002997002997,2731.138239502907,0.0013170998454392875,0,453,1135,5,Military_Aircraft,0 Military_Aircraft
91,"(1920, 1080)",2073600,"(455, 1135)",5,Military_Aircraft,0.5389956831932068,"[421.9145812988281, 1119.8809204101562, 488.4191589355469, 1151.5637817382812]",59.94005994005994,2107.055310949683,0.0010161339269626174,0,455,1135,5,Military_Aircraft,0 Military_Aircraft
92,"(1920, 1080)",2073600,"(456, 1134)",5,Military_Aircraft,0.5799059271812439,"[415.59771728515625, 1117.2238159179688, 496.92156982421875, 1152.2158203125]",42.38402284834451,2845.6846054270864,0.0013723401839443896,0,456,1134,5,Military_Aircraft,0 Military_Aircraft
93,"(1920, 1080)",2073600,"(456, 1135)",5,Military_Aircraft,0.649002730846405,"[415.64764404296875, 1120.3083801269531, 498.09381103515625, 1151.2978210449219]",29.97002997002997,2554.96062091738,0.0012321376451183352,0,456,1135,5,Military_Aircraft,0 Military_Aircraft
94,"(1920, 1080)",2073600,"(457, 1135)",5,Military_Aircraft,0.664059042930603,"[425.7597351074219, 1119.4812622070312, 489.8855895996094, 1150.7695922851562]",29.97002997002997,2006.3909018933773,0.0009675882050025933,0,457,1135,5,Military_Aircraft,0 Military_Aircraft
95,"(1920, 1080)",2073600,"(457, 1134)",5,Military_Aircraft,0.3976743817329407,"[416.50018310546875, 1117.3923950195312, 499.34649658203125, 1151.5841674804688]",29.97002997002997,2832.662299618125,0.001366060136775716,0,457,1134,5,Military_Aircraft,0 Military_Aircraft
96,"(1920, 1080)",2073600,"(458, 1135)",5,Military_Aircraft,0.7950291037559509,"[421.5, 1121.8319396972656, 496.23486328125, 1149.8195495605469]",42.38402284834451,2091.650196701288,0.00100870476306968,0,458,1135,5,Military_Aircraft,0 Military_Aircraft
97,"(1920, 1080)",2073600,"(460, 1134)",5,Military_Aircraft,0.8546739816665649,"[425.0829772949219, 1119.6351623535156, 495.6148376464844, 1149.1560363769531]",67.015024300693,2082.1621640771627,0.001004129130052644,0,460,1134,5,Military_Aircraft,0 Military_Aircraft
98,"(1920, 1080)",2073600,"(460, 1134)",5,Military_Aircraft,0.5979121327400208,"[417.45697021484375, 1119.3214721679688, 502.66888427734375, 1150.5469360351562]",0.0,2660.78154361248,0.0012831701116958335,0,460,1134,5,Military_Aircraft,0 Military_Aircraft
99,"(1920, 1080)",2073600,"(463, 1134)",2,Drone,0.41689351201057434,"[424.8050537109375, 1108.8662109375, 501.31201171875, 1160.9176025390625]",89.91008991008991,3982.2936315089464,0.0019204733948249163,0,463,1134,5,Military_Aircraft,0 Military_Aircraft
100,"(1920, 1080)",2073600,"(461, 1132)",5,Military_Aircraft,0.7083010077476501,"[420.45513916015625, 1115.74267578125, 502.99444580078125, 1149.3258056640625]",84.76804569668901,2771.9282553493977,0.0013367709564763685,0,461,1132,5,Military_Aircraft,0 Military_Aircraft
101,"(1920, 1080)",2073600,"(462, 1134)",5,Military_Aircraft,0.6938986778259277,"[420.8557434082031, 1121.0824279785156, 504.3356018066406, 1148.3038024902344]",67.015024300693,2272.436489649117,0.001095889510826156,0,462,1134,5,Military_Aircraft,0 Military_Aircraft
